time,ax,ay,az,gx,gy,gz,mx,my,mz
401,-0.32,6.25,-8.14,0.22,-0.08,0.07,-18.88,25.31,-14.05
411,-0.32,6.25,-8.14,0.22,-0.08,0.07,-18.88,25.31,-14.05
422,-0.40,6.59,-7.88,0.22,-0.09,0.09,-18.88,25.31,-14.05
433,-0.45,7.00,-7.66,0.22,-0.04,0.03,-18.88,25.31,-14.05
445,-0.45,7.00,-7.66,0.22,-0.04,0.03,-18.88,25.31,-14.05
455,-0.30,6.48,-7.93,0.22,-0.06,0.02,-18.88,25.31,-14.05
466,-0.30,6.48,-7.93,0.22,-0.06,0.02,-18.88,25.31,-14.05
477,-0.32,6.34,-8.12,0.25,0.02,-0.05,-18.88,25.31,-14.05
488,-0.32,6.34,-8.12,0.25,0.02,-0.05,-18.88,25.31,-14.05
499,-0.33,6.35,-8.10,0.24,0.03,-0.06,-20.37,25.15,-14.27
510,-0.33,6.35,-8.10,0.24,0.03,-0.06,-20.37,25.15,-14.27
521,-0.30,6.39,-8.05,0.24,0.03,-0.06,-20.37,25.15,-14.27
532,-0.33,6.36,-8.08,0.23,0.04,-0.07,-20.37,25.15,-14.27
543,-0.33,6.36,-8.08,0.23,0.04,-0.07,-20.37,25.15,-14.27
554,-0.37,6.35,-8.10,0.23,0.03,-0.07,-20.37,25.15,-14.27
565,-0.37,6.35,-8.10,0.23,0.03,-0.07,-20.37,25.15,-14.27
576,-0.32,6.36,-8.07,0.23,0.04,-0.07,-20.37,25.15,-14.27
587,-0.32,6.36,-8.07,0.23,0.04,-0.07,-20.37,25.15,-14.27
598,-0.31,6.36,-8.08,0.22,0.04,-0.07,-20.37,25.15,-14.27
609,-0.31,6.36,-8.08,0.22,0.04,-0.07,-20.37,25.15,-14.27
620,-0.34,6.32,-8.11,0.22,0.04,-0.06,-18.55,24.69,-13.61
631,-0.34,6.32,-8.11,0.22,0.04,-0.06,-18.55,24.69,-13.61
642,-0.31,6.41,-8.02,0.22,0.04,-0.06,-18.55,24.69,-13.61
653,-0.31,6.31,-8.13,0.23,0.03,-0.06,-18.55,24.69,-13.61
664,-0.31,6.31,-8.13,0.23,0.03,-0.06,-18.55,24.69,-13.61
675,-0.30,6.59,-8.15,0.23,0.03,-0.06,-18.55,24.69,-13.61
686,-0.30,6.59,-8.15,0.23,0.03,-0.06,-18.55,24.69,-13.61
697,-0.37,6.30,-8.04,0.24,0.03,-0.06,-18.55,24.69,-13.61
708,-0.37,6.30,-8.04,0.24,0.03,-0.06,-18.55,24.69,-13.61
719,-0.33,6.40,-8.07,0.24,0.03,-0.06,-18.55,24.69,-13.61
730,-0.33,6.40,-8.07,0.24,0.03,-0.06,-18.55,24.69,-13.61
741,-0.31,6.29,-8.14,0.23,0.03,-0.07,-19.21,25.62,-13.17
752,-0.35,6.30,-8.12,0.23,0.03,-0.07,-19.21,25.62,-13.17
764,-0.35,6.30,-8.12,0.23,0.03,-0.07,-19.21,25.62,-13.17
774,-0.31,6.39,-8.09,0.23,0.03,-0.07,-19.21,25.62,-13.17
785,-0.31,6.39,-8.09,0.23,0.03,-0.07,-19.21,25.62,-13.17
796,-0.27,6.35,-8.10,0.23,0.03,-0.07,-19.21,25.62,-13.17
807,-0.27,6.35,-8.10,0.23,0.03,-0.07,-19.21,25.62,-13.17
818,-0.30,6.35,-8.06,0.22,0.03,-0.07,-19.21,25.62,-13.17
829,-0.30,6.35,-8.06,0.22,0.03,-0.07,-19.21,25.62,-13.17
840,-0.28,6.51,-8.10,0.22,0.04,-0.07,-19.21,25.62,-13.17
851,-0.28,6.51,-8.10,0.22,0.04,-0.07,-19.21,25.62,-13.17
862,0.00,6.41,-8.05,0.23,0.04,-0.08,-19.21,25.62,-13.17
873,-0.41,6.31,-8.11,0.23,0.07,-0.12,-18.72,24.22,-15.15
884,-0.41,6.31,-8.11,0.23,0.07,-0.12,-18.72,24.22,-15.15
895,-0.37,6.29,-8.12,0.23,0.06,-0.10,-18.72,24.22,-15.15
906,-0.37,6.29,-8.12,0.23,0.06,-0.10,-18.72,24.22,-15.15
917,-0.50,6.33,-8.11,0.24,0.02,-0.05,-18.72,24.22,-15.15
928,-0.50,6.33,-8.11,0.24,0.02,-0.05,-18.72,24.22,-15.15
939,-0.46,6.32,-8.08,0.24,-0.02,-0.00,-18.72,24.22,-15.15
950,-0.46,6.32,-8.08,0.24,-0.02,-0.00,-18.72,24.22,-15.15
961,-0.58,6.33,-8.12,0.23,-0.02,-0.00,-18.72,24.22,-15.15
972,-0.15,6.36,-8.10,0.24,0.02,-0.05,-18.72,24.22,-15.15
983,-0.15,6.36,-8.10,0.24,0.02,-0.05,-18.72,24.22,-15.15
994,-0.30,6.46,-7.93,0.23,-0.02,0.01,-18.39,25.15,-13.83
1005,-0.30,6.46,-7.93,0.23,-0.02,0.01,-18.39,25.15,-13.83
1016,-0.15,6.25,-8.17,0.23,-0.07,0.06,-18.39,25.15,-13.83
1027,-0.15,6.25,-8.17,0.23,-0.07,0.06,-18.39,25.15,-13.83
1038,-0.04,6.25,-8.09,0.24,-0.13,0.14,-18.39,25.15,-13.83
1049,-0.04,6.25,-8.09,0.24,-0.13,0.14,-18.39,25.15,-13.83
1060,-0.38,6.24,-8.12,0.24,-0.22,0.26,-18.39,25.15,-13.83
1071,-0.38,6.24,-8.12,0.24,-0.22,0.26,-18.39,25.15,-13.83
1082,-0.14,6.30,-8.17,0.23,-0.31,0.37,-18.39,25.15,-13.83
1093,-0.21,6.17,-8.16,0.23,-0.41,0.48,-18.39,25.15,-13.83
1104,-0.21,6.17,-8.16,0.23,-0.41,0.48,-18.39,25.15,-13.83
1115,-0.51,6.14,-8.21,0.22,-0.47,0.56,-18.88,25.93,-13.61
1126,-0.51,6.14,-8.21,0.22,-0.47,0.56,-18.88,25.93,-13.61
1137,-0.18,6.02,-8.33,0.20,-0.53,0.63,-18.88,25.93,-13.61
1149,-0.18,6.02,-8.33,0.20,-0.53,0.63,-18.88,25.93,-13.61
1159,0.36,5.66,-8.54,0.17,-0.64,0.77,-18.88,25.93,-13.61
1170,0.36,5.66,-8.54,0.17,-0.64,0.77,-18.88,25.93,-13.61
1181,0.44,5.30,-8.57,0.16,-0.85,1.05,-18.88,25.93,-13.61
1196,0.44,5.30,-8.57,0.16,-0.85,1.05,-18.88,25.93,-13.61
1203,-0.44,6.20,-8.12,0.22,-0.93,1.30,-18.88,25.93,-13.61
1214,-0.50,6.79,-7.86,0.19,-0.76,1.26,-18.88,25.93,-13.61
1225,-0.50,6.79,-7.86,0.19,-0.76,1.26,-18.88,25.93,-13.61
1236,-0.55,6.98,-8.01,0.37,-0.43,1.05,-18.88,25.93,-13.61
1247,-0.55,6.98,-8.01,0.37,-0.43,1.05,-18.88,25.93,-13.61
1258,-0.01,6.77,-7.69,0.53,-0.16,0.81,-15.91,29.34,-10.08
1269,-0.01,6.77,-7.69,0.53,-0.16,0.81,-15.91,29.34,-10.08
1280,-0.10,6.18,-8.15,0.54,-0.05,0.67,-15.91,29.34,-10.08
1291,-0.10,6.18,-8.15,0.54,-0.05,0.67,-15.91,29.34,-10.08
1302,0.28,5.78,-8.40,0.49,-0.02,0.61,-15.91,29.34,-10.08
1313,0.15,5.52,-8.58,0.07,-0.10,0.68,-15.91,29.34,-10.08
1324,0.15,5.52,-8.58,0.07,-0.10,0.68,-15.91,29.34,-10.08
1335,0.80,5.79,-8.48,-0.74,-0.42,0.90,-15.91,29.34,-10.08
1346,0.80,5.79,-8.48,-0.74,-0.42,0.90,-15.91,29.34,-10.08
1357,0.76,6.19,-7.94,-1.15,-0.92,1.18,-15.91,29.34,-10.08
1368,0.76,6.19,-7.94,-1.15,-0.92,1.18,-15.91,29.34,-10.08
1379,0.12,7.33,-7.86,-1.82,-1.26,1.12,-13.77,30.73,-10.74
1390,0.12,7.33,-7.86,-1.82,-1.26,1.12,-13.77,30.73,-10.74
1401,-0.56,8.27,-7.98,-2.58,-1.27,0.85,-13.77,30.73,-10.74
1412,-0.56,8.27,-7.98,-2.58,-1.27,0.85,-13.77,30.73,-10.74
1423,-0.38,9.24,-7.30,-2.30,-1.09,0.67,-13.77,30.73,-10.74
1434,-0.35,9.46,-6.82,-0.67,-0.98,0.51,-13.77,30.73,-10.74
1445,-0.35,9.46,-6.82,-0.67,-0.98,0.51,-13.77,30.73,-10.74
1456,-1.12,9.87,-7.87,0.63,-0.82,-0.01,-13.77,30.73,-10.74
1467,-1.12,9.87,-7.87,0.63,-0.82,-0.01,-13.77,30.73,-10.74
1478,-0.86,10.91,-9.61,0.92,-0.62,-1.00,-13.77,30.73,-10.74
1489,-0.86,10.91,-9.61,0.92,-0.62,-1.00,-13.77,30.73,-10.74
1500,0.20,8.94,-8.79,1.79,-0.91,-1.87,-13.77,32.90,2.48
1511,0.20,8.94,-8.79,1.79,-0.91,-1.87,-13.77,32.90,2.48
1522,0.26,6.18,-8.67,2.23,-1.46,-2.21,-13.77,32.90,2.48
1533,-0.92,5.69,-9.35,2.34,-1.61,-1.75,-13.77,32.90,2.48
1544,-0.92,5.69,-9.35,2.34,-1.61,-1.75,-13.77,32.90,2.48
1555,-1.58,6.12,-8.53,2.64,-1.42,-1.07,-13.77,32.90,2.48
1566,-1.58,6.12,-8.53,2.64,-1.42,-1.07,-13.77,32.90,2.48
1577,-1.97,6.27,-7.88,2.66,-1.34,-0.92,-13.77,32.90,2.48
1588,-1.97,6.27,-7.88,2.66,-1.34,-0.92,-13.77,32.90,2.48
1599,-2.46,5.73,-8.13,2.44,-1.49,-1.00,-13.77,32.90,2.48
1610,-2.46,5.73,-8.13,2.44,-1.49,-1.00,-13.77,32.90,2.48
1621,-2.73,5.21,-8.02,2.05,-1.76,-1.00,-23.00,26.70,-10.74
1632,-2.73,5.21,-8.02,2.05,-1.76,-1.00,-23.00,26.70,-10.74
1643,-3.10,4.92,-7.59,1.67,-2.00,-0.99,-23.00,26.70,-10.74
1654,-3.32,4.57,-7.33,1.48,-2.00,-1.03,-23.00,26.70,-10.74
1665,-3.32,4.57,-7.33,1.48,-2.00,-1.03,-23.00,26.70,-10.74
1676,-3.64,3.79,-7.11,1.48,-1.75,-1.00,-23.00,26.70,-10.74
1687,-3.64,3.79,-7.11,1.48,-1.75,-1.00,-23.00,26.70,-10.74
1698,-3.96,2.97,-7.19,1.49,-1.39,-0.76,-23.00,26.70,-10.74
1709,-3.96,2.97,-7.19,1.49,-1.39,-0.76,-23.00,26.70,-10.74
1720,-4.23,3.34,-7.37,1.23,-1.12,-0.39,-23.00,26.70,-10.74
1731,-4.23,3.34,-7.37,1.23,-1.12,-0.39,-23.00,26.70,-10.74
1742,-4.57,3.88,-6.77,0.88,-1.06,-0.21,-23.00,26.70,-10.74
1753,-4.77,3.60,-7.06,0.61,-1.02,-0.32,-29.27,20.50,-7.21
1764,-4.77,3.60,-7.06,0.61,-1.02,-0.32,-29.27,20.50,-7.21
1775,-4.89,3.00,-7.31,0.63,-0.90,-0.33,-29.27,20.50,-7.21
1786,-4.89,3.00,-7.31,0.63,-0.90,-0.33,-29.27,20.50,-7.21
1797,-5.30,3.30,-7.95,0.64,-0.76,-0.18,-29.27,20.50,-7.21
1808,-5.30,3.30,-7.95,0.64,-0.76,-0.18,-29.27,20.50,-7.21
1819,-5.17,3.78,-7.68,0.75,-0.71,-0.08,-29.27,20.50,-7.21
1830,-5.17,3.78,-7.68,0.75,-0.71,-0.08,-29.27,20.50,-7.21
1841,-5.28,3.47,-7.30,0.70,-0.78,-0.13,-29.27,20.50,-7.21
1852,-5.28,3.47,-7.30,0.70,-0.78,-0.13,-29.27,20.50,-7.21
1863,-5.65,3.26,-7.07,0.62,-0.76,-0.09,-29.27,20.50,-7.21
1874,-5.90,3.68,-7.29,0.53,-0.60,-0.00,-30.59,21.43,-3.69
1885,-5.90,3.68,-7.29,0.53,-0.60,-0.00,-30.59,21.43,-3.69
1896,-5.74,3.78,-7.49,0.56,-0.47,-0.01,-30.59,21.43,-3.69
1911,-5.74,3.78,-7.49,0.56,-0.47,-0.01,-30.59,21.43,-3.69
1918,-5.70,3.68,-7.44,0.79,-0.41,-0.10,-30.59,21.43,-3.69
1929,-5.70,3.68,-7.44,0.79,-0.41,-0.10,-30.59,21.43,-3.69
1940,-6.08,3.29,-7.19,1.20,-0.30,-0.14,-30.59,21.43,-3.69
1951,-6.08,3.29,-7.19,1.20,-0.30,-0.14,-30.59,21.43,-3.69
1962,-6.21,3.75,-7.94,1.41,-0.13,-0.17,-30.59,21.43,-3.69
1973,-5.68,5.08,-9.85,2.26,-0.12,-0.20,-30.59,21.43,-3.69
1984,-5.68,5.08,-9.85,2.26,-0.12,-0.20,-30.59,21.43,-3.69
1995,-6.02,5.73,-10.73,5.04,-0.41,-0.26,-31.74,17.25,-8.32
2006,-6.02,5.73,-10.73,5.04,-0.41,-0.26,-31.74,17.25,-8.32
2017,-6.45,7.81,-11.63,9.09,-0.89,-0.48,-31.74,17.25,-8.32
2028,-6.45,7.81,-11.63,9.09,-0.89,-0.48,-31.74,17.25,-8.32
2039,-6.52,10.80,-11.84,15.77,-1.60,-0.86,-31.74,17.25,-8.32
2050,-6.52,10.80,-11.84,15.77,-1.60,-0.86,-31.74,17.25,-8.32
2061,-4.12,5.72,-2.24,17.66,-2.88,-1.16,-31.74,17.25,-8.32
2072,-4.12,5.72,-2.24,17.66,-2.88,-1.16,-31.74,17.25,-8.32
2083,-4.60,-5.82,7.10,17.66,-4.58,-1.80,-31.74,17.25,-8.32
2094,-6.79,-4.07,4.62,15.18,-3.91,-1.24,-31.74,17.25,-8.32
2105,-6.79,-4.07,4.62,15.18,-3.91,-1.24,-31.74,17.25,-8.32
2116,-12.35,-1.05,6.27,17.66,-1.33,0.21,-31.74,17.25,-8.32
2127,-12.35,-1.05,6.27,17.66,-1.33,0.21,-31.74,17.25,-8.32
2138,-1.75,-9.65,25.91,17.66,0.28,-0.39,-38.66,-23.36,25.19
2149,-1.75,-9.65,25.91,17.66,0.28,-0.39,-38.66,-23.36,25.19
2160,-6.89,-6.72,5.43,3.39,1.78,-1.28,-38.66,-23.36,25.19
2171,-6.89,-6.72,5.43,3.39,1.78,-1.28,-38.66,-23.36,25.19
2182,-8.35,-8.09,3.47,-3.43,2.73,0.61,-38.66,-23.36,25.19
2193,-8.35,-8.09,3.47,-3.43,2.73,0.61,-38.66,-23.36,25.19
2204,-7.75,-4.43,5.41,-4.25,2.21,1.77,-38.66,-23.36,25.19
2215,-9.24,-0.14,6.54,-6.52,1.72,0.40,-38.66,-23.36,25.19
2226,-9.24,-0.14,6.54,-6.52,1.72,0.40,-38.66,-23.36,25.19
2242,-1.95,-3.65,-3.17,-6.86,1.47,-1.74,-38.66,-23.36,25.19
2248,-1.95,-3.65,-3.17,-6.86,1.47,-1.74,-38.66,-23.36,25.19
2259,-6.33,-5.73,-2.96,-2.63,-0.73,-0.34,-36.85,-20.11,10.42
2270,-6.33,-5.73,-2.96,-2.63,-0.73,-0.34,-36.85,-20.11,10.42
2281,-6.22,-2.95,-5.97,1.25,-2.09,0.58,-36.85,-20.11,10.42
2292,-6.22,-2.95,-5.97,1.25,-2.09,0.58,-36.85,-20.11,10.42
2303,-5.57,-5.30,-1.88,4.77,-3.55,0.93,-36.85,-20.11,10.42
2314,-4.48,-8.04,10.57,5.76,-5.16,1.96,-36.85,-20.11,10.42
2325,-4.48,-8.04,10.57,5.76,-5.16,1.96,-36.85,-20.11,10.42
2336,-10.37,1.21,12.49,0.05,-3.91,2.41,-36.85,-20.11,10.42
2347,-10.37,1.21,12.49,0.05,-3.91,2.41,-36.85,-20.11,10.42
2358,-8.22,-1.74,7.19,0.60,-0.19,1.22,-36.85,-20.11,10.42
2369,-8.22,-1.74,7.19,0.60,-0.19,1.22,-36.85,-20.11,10.42
2380,-7.18,-4.83,5.49,1.23,1.33,0.62,-40.48,-15.15,30.70
2391,-7.18,-4.83,5.49,1.23,1.33,0.62,-40.48,-15.15,30.70
2402,-7.03,-4.25,4.72,-0.95,1.37,0.96,-40.48,-15.15,30.70
2413,-7.03,-4.25,4.72,-0.95,1.37,0.96,-40.48,-15.15,30.70
2424,-7.39,-3.26,3.77,-2.26,0.96,1.40,-40.48,-15.15,30.70
2435,-5.81,-6.03,6.03,-2.13,0.14,1.96,-40.48,-15.15,30.70
2446,-5.81,-6.03,6.03,-2.13,0.14,1.96,-40.48,-15.15,30.70
2457,-5.35,-4.38,-1.94,-1.96,-0.23,2.58,-40.48,-15.15,30.70
2468,-5.35,-4.38,-1.94,-1.96,-0.23,2.58,-40.48,-15.15,30.70
2479,-10.88,-3.98,0.46,3.99,-0.96,3.52,-40.48,-15.15,30.70
2490,-10.88,-3.98,0.46,3.99,-0.96,3.52,-40.48,-15.15,30.70
2502,-7.19,-0.10,3.48,2.29,-1.24,3.62,-40.48,-15.15,30.70
2512,-7.19,-0.10,3.48,2.29,-1.24,3.62,-40.48,-15.15,30.70
2523,-7.82,1.52,7.04,1.03,-1.63,3.26,-41.47,-3.06,29.82
2534,-7.88,1.74,5.83,0.50,-1.24,2.29,-41.47,-3.06,29.82
2545,-7.88,1.74,5.83,0.50,-1.24,2.29,-41.47,-3.06,29.82
2556,-8.73,0.93,5.84,0.28,-0.06,1.33,-41.47,-3.06,29.82
2567,-8.73,0.93,5.84,0.28,-0.06,1.33,-41.47,-3.06,29.82
2578,-8.10,0.28,5.81,-0.38,1.12,0.48,-41.47,-3.06,29.82
2589,-8.10,0.28,5.81,-0.38,1.12,0.48,-41.47,-3.06,29.82
2600,-8.37,-0.92,4.81,-0.73,1.69,0.09,-41.47,-3.06,29.82
2611,-8.37,-0.92,4.81,-0.73,1.69,0.09,-41.47,-3.06,29.82
2622,-8.41,-1.13,3.62,-0.57,1.77,0.38,-41.47,-3.06,29.82
2633,-8.41,-1.13,3.62,-0.57,1.77,0.38,-41.47,-3.06,29.82
2644,-9.99,-1.95,2.42,-0.51,1.23,0.76,-41.30,4.23,27.39
2655,-9.44,-2.29,1.27,-0.25,0.38,1.63,-41.30,4.23,27.39
2666,-9.44,-2.29,1.27,-0.25,0.38,1.63,-41.30,4.23,27.39
