time,ax,ay,az,gx,gy,gz,mx,my,mz
401,-0.50,6.29,-8.13,0.00,-0.01,-0.01,-32.51,9.74,-54.23
411,-0.50,6.29,-8.13,0.00,-0.01,-0.01,-32.51,9.74,-54.23
422,-0.50,6.29,-8.09,0.00,-0.00,-0.00,-32.51,9.74,-54.23
433,-0.50,6.29,-8.09,0.00,-0.00,-0.00,-32.51,9.74,-54.23
445,-0.47,6.29,-8.11,0.00,-0.00,-0.00,-32.51,9.74,-54.23
455,-0.48,6.29,-8.13,0.00,-0.01,-0.01,-32.51,9.74,-54.23
466,-0.48,6.29,-8.13,0.00,-0.01,-0.01,-32.51,9.74,-54.23
477,-0.48,6.29,-8.13,0.00,-0.00,-0.01,-33.51,10.43,-52.59
488,-0.48,6.29,-8.13,0.00,-0.00,-0.01,-33.51,10.43,-52.59
499,-0.49,6.28,-8.13,0.00,-0.00,-0.00,-33.51,10.43,-52.59
510,-0.49,6.28,-8.13,0.00,-0.00,-0.00,-33.51,10.43,-52.59
521,-0.48,6.29,-8.12,0.00,-0.00,-0.00,-33.51,10.43,-52.59
532,-0.48,6.29,-8.12,0.00,-0.00,-0.00,-33.51,10.43,-52.59
543,-0.48,6.29,-8.11,0.00,-0.00,-0.00,-33.51,10.43,-52.59
554,-0.48,6.30,-8.11,-0.00,-0.00,-0.00,-33.51,10.43,-52.59
565,-0.48,6.30,-8.11,-0.00,-0.00,-0.00,-33.51,10.43,-52.59
576,-0.50,6.29,-8.12,0.00,-0.00,-0.00,-33.51,10.43,-52.59
587,-0.50,6.29,-8.12,0.00,-0.00,-0.00,-33.51,10.43,-52.59
598,-0.48,6.29,-8.11,0.00,-0.00,-0.00,-35.26,8.54,-54.10
609,-0.48,6.29,-8.11,0.00,-0.00,-0.00,-35.26,8.54,-54.10
620,-0.49,6.29,-8.11,0.00,-0.00,-0.00,-35.26,8.54,-54.10
631,-0.49,6.29,-8.11,0.00,-0.00,-0.00,-35.26,8.54,-54.10
642,-0.49,6.28,-8.12,0.00,-0.00,-0.00,-35.26,8.54,-54.10
