time,ax,ay,az,gx,gy,gz,mx,my,mz
401,-0.34,6.40,-8.10,-0.00,0.07,-0.07,-21.54,21.98,-26.88
411,-0.34,6.39,-8.10,-0.00,0.07,-0.07,-21.54,21.98,-26.88
422,-0.34,6.39,-8.10,-0.00,0.07,-0.07,-21.54,21.98,-26.88
433,-0.36,6.40,-8.09,-0.00,0.07,-0.07,-21.54,21.98,-26.88
445,-0.36,6.40,-8.09,-0.00,0.07,-0.07,-21.54,21.98,-26.88
455,-0.33,6.40,-8.11,-0.00,0.07,-0.07,-21.54,21.98,-26.88
466,-0.33,6.40,-8.11,-0.00,0.07,-0.07,-21.54,21.98,-26.88
477,-0.36,6.41,-8.10,-0.00,0.06,-0.07,-21.54,21.98,-26.88
488,-0.35,6.36,-8.15,-0.00,0.06,-0.07,-21.91,22.62,-27.62
499,-0.35,6.36,-8.15,-0.00,0.06,-0.07,-21.91,22.62,-27.62
510,-0.29,6.38,-8.14,-0.00,0.06,-0.07,-21.91,22.62,-27.62
521,-0.29,6.38,-8.14,-0.00,0.06,-0.07,-21.91,22.62,-27.62
532,-0.38,6.39,-8.11,-0.00,0.06,-0.07,-21.91,22.62,-27.62
543,-0.38,6.39,-8.11,-0.00,0.06,-0.07,-21.91,22.62,-27.62
554,-0.37,6.39,-8.09,-0.01,0.06,-0.07,-21.91,22.62,-27.62
565,-0.37,6.39,-8.09,-0.01,0.06,-0.07,-21.91,22.62,-27.62
576,-0.32,6.39,-8.12,-0.01,0.06,-0.07,-21.91,22.62,-27.62
587,-0.32,6.67,-8.03,-0.00,0.06,-0.07,-21.91,22.62,-27.62
598,-0.32,6.67,-8.03,-0.00,0.06,-0.07,-21.91,22.62,-27.62
609,-0.37,6.39,-8.15,0.00,0.06,-0.07,-22.83,21.18,-25.96
620,-0.37,6.39,-8.15,0.00,0.06,-0.07,-22.83,21.18,-25.96
631,-0.36,6.38,-8.11,0.00,0.06,-0.07,-22.83,21.18,-25.96
642,-0.36,6.38,-8.11,0.00,0.06,-0.07,-22.83,21.18,-25.96
653,-0.36,6.42,-8.10,-0.00,0.07,-0.07,-22.83,21.18,-25.96
664,-0.36,6.42,-8.10,-0.00,0.07,-0.07,-22.83,21.18,-25.96
675,-0.36,6.42,-8.09,0.00,0.06,-0.07,-22.83,21.18,-25.96
686,-0.36,6.42,-8.09,0.00,0.06,-0.07,-22.83,21.18,-25.96
697,-0.33,6.39,-8.14,0.00,0.06,-0.07,-22.83,21.18,-25.96
708,-0.28,6.67,-8.12,0.00,0.06,-0.07,-22.83,21.18,-25.96
719,-0.28,6.67,-8.12,0.00,0.06,-0.07,-22.83,21.18,-25.96
730,-0.34,6.37,-8.16,0.00,0.06,-0.07,-21.91,20.05,-26.14
741,-0.34,6.37,-8.16,0.00,0.06,-0.07,-21.91,20.05,-26.14
752,-0.34,6.39,-8.12,-0.00,0.06,-0.07,-21.91,20.05,-26.14
763,-0.34,6.39,-8.12,-0.00,0.06,-0.07,-21.91,20.05,-26.14
774,-0.35,6.41,-8.09,-0.00,0.07,-0.07,-21.91,20.05,-26.14
785,-0.35,6.41,-8.09,-0.00,0.07,-0.07,-21.91,20.05,-26.14
796,-0.38,6.32,-8.15,-0.01,0.07,-0.07,-21.91,20.05,-26.14
