time,ax,ay,az,gx,gy,gz,mx,my,mz
402,-0.28,6.40,-8.05,-0.03,-0.06,0.08,-21.35,21.50,-29.28
412,-0.28,6.40,-8.05,-0.03,-0.06,0.08,-21.35,21.50,-29.28
423,-0.38,6.47,-8.05,-0.02,-0.03,0.06,-21.35,21.50,-29.28
434,-0.38,6.47,-8.05,-0.02,-0.03,0.06,-21.35,21.50,-29.28
445,-0.59,6.39,-8.13,-0.02,-0.00,0.02,-21.35,21.50,-29.28
456,-0.59,6.39,-8.13,-0.02,-0.00,0.02,-21.35,21.50,-29.28
467,-0.27,6.37,-8.14,-0.02,0.05,-0.05,-21.35,21.50,-29.28
478,-0.27,6.37,-8.14,-0.02,0.05,-0.05,-21.35,21.50,-29.28
489,-0.26,6.42,-8.10,-0.02,0.06,-0.07,-21.35,21.50,-29.28
500,-0.34,6.45,-8.07,-0.01,0.06,-0.07,-21.72,22.46,-28.91
511,-0.34,6.45,-8.07,-0.01,0.06,-0.07,-21.72,22.46,-28.91
522,-0.34,6.45,-8.07,-0.01,0.07,-0.07,-21.72,22.46,-28.91
533,-0.34,6.45,-8.07,-0.01,0.07,-0.07,-21.72,22.46,-28.91
544,-0.30,6.44,-8.10,-0.01,0.07,-0.07,-21.72,22.46,-28.91
555,-0.30,6.44,-8.10,-0.01,0.07,-0.07,-21.72,22.46,-28.91
566,-0.27,6.41,-8.11,-0.01,0.07,-0.07,-21.72,22.46,-28.91
577,-0.27,6.41,-8.11,-0.01,0.07,-0.07,-21.72,22.46,-28.91
588,-0.29,6.42,-8.11,-0.01,0.07,-0.07,-21.72,22.46,-28.91
599,-0.29,6.42,-8.11,-0.01,0.07,-0.07,-21.72,22.46,-28.91
610,-0.32,6.41,-8.09,-0.01,0.06,-0.07,-21.72,22.46,-28.91
621,-0.34,6.52,-8.06,-0.01,0.07,-0.07,-21.17,23.26,-26.88
632,-0.34,6.52,-8.06,-0.01,0.07,-0.07,-21.17,23.26,-26.88
643,-0.33,6.49,-8.07,-0.01,0.07,-0.07,-21.17,23.26,-26.88
654,-0.33,6.49,-8.07,-0.01,0.07,-0.07,-21.17,23.26,-26.88
665,-0.28,6.39,-8.14,-0.01,0.07,-0.07,-21.17,23.26,-26.88
676,-0.28,6.39,-8.14,-0.01,0.07,-0.07,-21.17,23.26,-26.88
687,-0.26,6.35,-8.15,-0.01,0.06,-0.07,-21.17,23.26,-26.88
698,-0.26,6.35,-8.15,-0.01,0.06,-0.07,-21.17,23.26,-26.88
709,-0.29,6.38,-8.14,-0.01,0.07,-0.07,-21.17,23.26,-26.88
720,-0.42,6.53,-7.99,-0.01,0.06,-0.07,-21.17,23.26,-26.88
731,-0.42,6.53,-7.99,-0.01,0.06,-0.07,-21.17,23.26,-26.88
742,-0.34,6.48,-8.05,-0.01,0.06,-0.07,-21.72,23.42,-27.43
758,-0.34,6.48,-8.05,-0.01,0.06,-0.07,-21.72,23.42,-27.43
764,-0.23,6.37,-8.17,-0.01,0.06,-0.07,-21.72,23.42,-27.43
775,-0.23,6.37,-8.17,-0.01,0.06,-0.07,-21.72,23.42,-27.43
786,-0.26,6.42,-8.10,-0.01,0.06,-0.07,-21.72,23.42,-27.43
797,-0.26,6.42,-8.10,-0.01,0.06,-0.07,-21.72,23.42,-27.43
808,-0.35,6.49,-8.02,-0.01,0.06,-0.07,-21.72,23.42,-27.43
819,-0.35,6.49,-8.02,-0.01,0.06,-0.07,-21.72,23.42,-27.43
830,-0.34,6.44,-8.09,-0.01,0.06,-0.07,-21.72,23.42,-27.43
841,-0.29,6.41,-8.10,-0.00,0.06,-0.07,-21.72,23.42,-27.43
852,-0.29,6.41,-8.10,-0.00,0.06,-0.07,-21.72,23.42,-27.43
863,-0.29,6.44,-8.07,-0.00,0.06,-0.07,-21.72,23.42,-27.43
874,-0.29,6.44,-8.07,-0.00,0.06,-0.07,-21.72,23.42,-27.43
885,-0.32,6.50,-8.07,-0.00,0.06,-0.07,-20.98,23.10,-30.01
901,-0.32,6.50,-8.07,-0.00,0.06,-0.07,-20.98,23.10,-30.01
907,-0.31,6.43,-8.09,-0.00,0.06,-0.07,-20.98,23.10,-30.01
918,-0.31,6.43,-8.09,-0.00,0.06,-0.07,-20.98,23.10,-30.01
929,-0.29,6.40,-8.15,-0.00,0.06,-0.07,-20.98,23.10,-30.01
940,-0.31,6.45,-8.07,-0.00,0.06,-0.07,-20.98,23.10,-30.01
951,-0.31,6.45,-8.07,-0.00,0.06,-0.07,-20.98,23.10,-30.01
962,-0.31,6.49,-8.04,-0.00,0.07,-0.07,-20.98,23.10,-30.01
973,-0.31,6.49,-8.04,-0.00,0.07,-0.07,-20.98,23.10,-30.01
984,-0.30,6.45,-8.08,-0.00,0.06,-0.07,-20.98,23.10,-30.01
995,-0.30,6.45,-8.08,-0.00,0.06,-0.07,-20.98,23.10,-30.01
1006,-0.28,6.43,-8.12,-0.00,0.06,-0.07,-22.09,23.10,-28.91
1017,-0.28,6.43,-8.12,-0.00,0.06,-0.07,-22.09,23.10,-28.91
1028,-0.32,6.44,-8.10,-0.00,0.06,-0.07,-22.09,23.10,-28.91
