time,ax,ay,az,gx,gy,gz,mx,my,mz
2.00,-0.62,6.36,-7.88,-0.05,0.18,-0.02,-56.00,0.00,39.00
14.00,-0.65,6.33,-7.89,-0.05,0.18,-0.02,-56.00,0.00,39.00
26.00,-0.65,6.35,-7.90,-0.05,0.18,-0.02,-56.00,0.00,39.00
266.00,-0.66,6.35,-7.88,-0.05,0.18,-0.02,-52.00,1.00,38.00
277.00,-0.66,6.35,-7.88,-0.05,0.18,-0.02,-52.00,1.00,38.00
289.00,-0.63,6.36,-7.88,-0.05,0.18,-0.02,-52.00,1.00,38.00
301.00,-0.63,6.36,-7.88,-0.05,0.18,-0.02,-52.00,1.00,38.00
313.00,-0.65,6.33,-7.89,-0.05,0.18,-0.02,-54.00,1.00,39.00
326.00,-0.65,6.34,-7.92,-0.05,0.18,-0.02,-54.00,1.00,39.00
337.00,-0.65,6.34,-7.92,-0.05,0.18,-0.02,-54.00,1.00,39.00
349.00,-0.63,6.34,-7.88,-0.05,0.18,-0.02,-54.00,1.00,39.00
361.00,-0.63,6.34,-7.88,-0.05,0.18,-0.02,-54.00,1.00,39.00
375.00,-0.66,6.33,-7.87,-0.05,0.18,-0.02,-54.00,1.00,39.00
387.00,-0.65,6.33,-7.88,-0.05,0.18,-0.02,-54.00,1.00,39.00
398.00,-0.65,6.33,-7.88,-0.05,0.18,-0.02,-54.00,1.00,39.00
410.00,-0.64,6.34,-7.91,-0.05,0.18,-0.02,-54.00,1.00,39.00
422.00,-0.64,6.34,-7.91,-0.05,0.18,-0.02,-54.00,1.00,39.00
434.00,-0.64,6.35,-7.88,-0.05,0.18,-0.02,-54.00,1.00,39.00
446.00,-0.65,6.33,-7.91,-0.05,0.18,-0.02,-54.00,0.00,36.00
458.00,-0.65,6.33,-7.91,-0.05,0.18,-0.02,-54.00,0.00,36.00
471.00,-0.63,6.35,-7.90,-0.05,0.18,-0.02,-54.00,0.00,36.00
483.00,-0.63,6.35,-7.90,-0.05,0.18,-0.02,-54.00,0.00,36.00
495.00,-0.65,6.33,-7.87,-0.05,0.18,-0.02,-54.00,0.00,36.00
505.00,-0.64,6.35,-7.88,-0.05,0.18,-0.02,-54.00,0.00,36.00
517.00,-0.64,6.35,-7.88,-0.05,0.18,-0.02,-54.00,0.00,36.00
530.00,-0.64,6.35,-7.88,-0.05,0.18,-0.02,-54.00,0.00,36.00
542.00,-0.64,6.35,-7.88,-0.05,0.18,-0.02,-54.00,0.00,36.00
553.00,-0.64,6.33,-7.88,-0.05,0.18,-0.02,-54.00,0.00,36.00
565.00,-0.65,6.34,-7.90,-0.05,0.18,-0.02,-54.00,1.00,38.00
569.00,-0.65,6.34,-7.90,-0.05,0.18,-0.02,-54.00,1.00,38.00
649.00,-0.63,6.35,-7.88,-0.05,0.18,-0.02,-54.00,1.00,38.00
727.00,-0.64,6.36,-7.87,-0.05,0.18,-0.02,-52.00,0.00,38.00
806.00,-0.63,6.34,-7.90,-0.05,0.18,-0.02,-56.00,1.00,38.00
896.00,-0.64,6.34,-7.87,-0.05,0.18,-0.02,-56.00,1.00,38.00
907.00,-0.65,6.34,-7.87,-0.05,0.18,-0.02,-56.00,1.00,38.00
918.00,-0.65,6.34,-7.87,-0.05,0.18,-0.02,-56.00,1.00,38.00
930.00,-0.65,6.34,-7.89,-0.05,0.18,-0.02,-56.00,1.00,38.00
1088.00,-0.64,6.34,-7.88,-0.05,0.18,-0.02,-56.00,3.00,38.00
1174.00,-0.64,6.34,-7.88,-0.05,0.18,-0.02,-56.00,3.00,38.00
1186.00,-0.64,6.34,-7.90,-0.05,0.18,-0.02,-56.00,3.00,38.00
1197.00,-0.64,6.34,-7.90,-0.05,0.18,-0.02,-54.00,3.00,34.00
1209.00,-0.64,6.33,-7.90,-0.05,0.18,-0.02,-54.00,3.00,34.00
1221.00,-0.64,6.33,-7.90,-0.05,0.18,-0.02,-54.00,3.00,34.00
1233.00,-0.65,6.32,-7.89,-0.05,0.18,-0.02,-54.00,3.00,34.00
1245.00,-0.65,6.32,-7.89,-0.05,0.18,-0.02,-54.00,3.00,34.00
1256.00,-0.66,6.34,-7.88,-0.05,0.18,-0.02,-54.00,3.00,34.00
1270.00,-0.65,6.35,-7.91,-0.05,0.18,-0.02,-54.00,3.00,34.00
1281.00,-0.65,6.35,-7.91,-0.05,0.18,-0.02,-54.00,3.00,34.00
1293.00,-0.63,6.34,-7.88,-0.05,0.18,-0.02,-54.00,3.00,34.00
1304.00,-0.63,6.34,-7.88,-0.05,0.18,-0.02,-54.00,3.00,34.00
1317.00,-0.66,6.35,-7.88,-0.05,0.18,-0.02,-52.00,3.00,36.00
1328.00,-0.64,6.33,-7.89,-0.05,0.18,-0.02,-52.00,3.00,36.00
1340.00,-0.64,6.33,-7.89,-0.05,0.18,-0.02,-52.00,3.00,36.00
1351.00,-0.63,6.34,-7.91,-0.05,0.18,-0.02,-52.00,3.00,36.00
1364.00,-0.63,6.34,-7.91,-0.05,0.18,-0.02,-52.00,3.00,36.00
1375.00,-0.65,6.34,-7.88,-0.05,0.18,-0.02,-52.00,3.00,36.00
1387.00,-0.64,6.34,-7.88,-0.05,0.18,-0.02,-52.00,3.00,36.00
1399.00,-0.64,6.34,-7.88,-0.05,0.18,-0.02,-52.00,3.00,36.00
1412.00,-0.66,6.35,-7.89,-0.05,0.18,-0.02,-52.00,3.00,36.00
1423.00,-0.66,6.35,-7.89,-0.05,0.18,-0.02,-52.00,3.00,36.00
1435.00,-0.65,6.34,-7.88,-0.05,0.18,-0.02,-52.00,3.00,36.00
1447.00,-0.66,6.33,-7.88,-0.05,0.18,-0.02,-54.00,3.00,36.00
1458.00,-0.66,6.33,-7.88,-0.05,0.18,-0.02,-54.00,3.00,36.00
1472.00,-0.66,6.34,-7.88,-0.05,0.18,-0.02,-54.00,3.00,36.00
1484.00,-0.66,6.34,-7.88,-0.05,0.18,-0.02,-54.00,3.00,36.00
1495.00,-0.64,6.36,-7.88,-0.05,0.18,-0.02,-54.00,3.00,36.00
1507.00,-0.65,6.34,-7.88,-0.05,0.18,-0.02,-54.00,3.00,36.00
1710.00,-0.65,6.35,-7.92,-0.05,0.18,-0.02,-54.00,1.00,38.00
1722.00,-0.65,6.35,-7.92,-0.05,0.18,-0.02,-54.00,1.00,38.00
1733.00,-0.65,6.33,-7.88,-0.05,0.18,-0.02,-54.00,1.00,38.00
1745.00,-0.65,6.33,-7.88,-0.05,0.18,-0.02,-54.00,1.00,38.00
1758.00,-0.65,6.35,-7.88,-0.05,0.18,-0.02,-54.00,1.00,38.00
1769.00,-0.65,6.35,-7.87,-0.05,0.18,-0.02,-54.00,1.00,38.00
1780.00,-0.65,6.35,-7.87,-0.05,0.18,-0.02,-54.00,1.00,38.00
1792.00,-0.65,6.35,-7.87,-0.05,0.18,-0.02,-54.00,1.00,38.00
1806.00,-0.65,6.35,-7.87,-0.05,0.18,-0.02,-54.00,1.00,38.00
1817.00,-0.65,6.35,-7.89,-0.05,0.18,-0.02,-56.00,1.00,38.00
1829.00,-0.65,6.33,-7.90,-0.05,0.18,-0.02,-56.00,1.00,38.00
1840.00,-0.65,6.33,-7.90,-0.05,0.18,-0.02,-56.00,1.00,38.00
1852.00,-0.63,6.35,-7.88,-0.05,0.18,-0.02,-56.00,1.00,38.00
